INPUT	CODE-NAME	INPUT-TYPE	#sanskrit	#hindi	#marathi	#modi	#bengali	#gurmukhi	#gujarati	#oriya	#tamil	#telugu	#kannada	#malayalam	#grantha	#iso15919
R	rra	consonant	u+0931	u+0931	u+0931			u+0A5C			u+0BB1	u+0C31	u+0CB1	u+0D31		ṟ
l	la	consonant	u+0932	u+0932	u+0932	u+11629	u+09B2	u+0A32	u+0AB2	u+0B32	u+0BB2	u+0C32	u+0CB2	u+0D32	u+11332	l
ld | L	lla	consonant	u+0933	u+0933	u+0933	u+1162F		u+0A33	u+0AB3	u+0B33	u+0BB3	u+0C33	u+0CB3	u+0D33	u+11333	ḷ
zh	llla	consonant	u+0934	u+0934	u+0934				u+0AB3		u+0BB4	u+0C34	u+0C34	u+0D34		ḻ
v	va	consonant	u+0935	u+0935	u+0935	u+1162A	u+09AC	u+0A35	u+0AB5	u+0B35	u+0BB5	u+0C35	u+0CB5	u+0D35	u+11335	v
w	wa	consonant	u+0935	u+0935	u+0935	u+1162A	u+09AC	u+0A35	u+0AB5	u+0B71	u+0BB5	u+0C35	u+0CB5	u+0D35	u+11335	v
sh	sha	consonant	u+0936	u+0936	u+0936	u+1162B	u+09B6	u+0A36	u+0AB6	u+0B36	u+0BB6	u+0C36	u+0CB6	u+0D36	u+11336	ś
Sh	ssa	consonant	u+0937	u+0937	u+0937	u+1162C	u+09B7		u+0AB7	u+0B37	u+0BB7	u+0C37	u+0CB7	u+0D37	u+11337	ṣ
s	sa	consonant	u+0938	u+0938	u+0938	u+1162D	u+09B8	u+0A38	u+0AB8	u+0B38	u+0BB8	u+0C38	u+0CB8	u+0D38	u+11338	s
h	ha	consonant	u+0939	u+0939	u+0939	u+1162E	u+09B9	u+0A39	u+0AB9	u+0B39	u+0BB9	u+0C39	u+0CB9	u+0D39	u+11339	h
																
x | kSh	ksha	consonant	{ka}{consonants-joiner}{ssa}{dv-a}	{ka}{consonants-joiner}{ssa}{dv-a}	{ka}{consonants-joiner}{ssa}{dv-a}	{ka}{consonants-joiner}{ssa}{dv-a}	{ka}{consonants-joiner}{ssa}{dv-a}	{ka}{consonants-joiner}{ssa}{dv-a}	{ka}{consonants-joiner}{ssa}{dv-a}	{ka}{consonants-joiner}{ssa}{dv-a}	{ka}{consonants-joiner}{ssa}{dv-a}	{ka}{consonants-joiner}{ssa}{dv-a}	{ka}{consonants-joiner}{ssa}{dv-a}	{ka}{consonants-joiner}{ssa}{dv-a}	{ka}{consonants-joiner}{ssa}{dv-a}	kṣ
GY | j~n | dny | gn | gy	jnya	consonant	{ja}{consonants-joiner}{nya}{dv-a}	{ja}{consonants-joiner}{nya}{dv-a}	{ja}{consonants-joiner}{nya}{dv-a}	{ja}{consonants-joiner}{nya}{dv-a}	{ja}{consonants-joiner}{nya}{dv-a}	{ja}{consonants-joiner}{nya}{dv-a}	{ja}{consonants-joiner}{nya}{dv-a}	{ja}{consonants-joiner}{nya}{dv-a}	{ja}{consonants-joiner}{nya}{dv-a}	{ja}{consonants-joiner}{nya}{dv-a}	{ja}{consonants-joiner}{nya}{dv-a}	{ja}{consonants-joiner}{nya}{dv-a}	{ja}{consonants-joiner}{nya}{dv-a}	jñ
SRI	sha-ra-ii		{sha}{consonants-joiner}{ra}{dv-ii}	{sha}{consonants-joiner}{ra}{dv-ii}	{sha}{consonants-joiner}{ra}{dv-ii}	{sha}{consonants-joiner}{ra}{dv-ii}	{sha}{consonants-joiner}{ra}{dv-ii}	{sha}{consonants-joiner}{ra}{dv-ii}	{sha}{consonants-joiner}{ra}{dv-ii}	{sha}{consonants-joiner}{ra}{dv-ii}	{sha}{consonants-joiner}{ra}{dv-ii}	{sha}{consonants-joiner}{ra}{dv-ii}	{sha}{consonants-joiner}{ra}{dv-ii}	{sha}{consonants-joiner}{ra}{dv-ii}	{sha}{consonants-joiner}{ra}{dv-ii}	śrī
OM | AUM	om		u+0950	u+0950	u+0950	u+0950	u+0993u+0981	u+0A74	u+0AD0	u+0B13u+0B01	u+0BD0	u+0C13u+0C02	u+0C93u+0C82	u+0D13u+0D02	u+11350	oṁ
																
q	qa	consonant	u+0958	u+0958	u+0958											q
K	khha	consonant	u+0959	u+0959	u+0959			u+0A59								k͟h
G	ghha	consonant	u+095A	u+095A	u+095A			u+0A5A								ġ
z | J	za	consonant	u+095B	u+095B	u+095B			u+0A5B								z
.D	dddha	consonant	u+095C	u+095C	u+095C		u+09DC			u+0B5C						ṛ
.Dh	rha	consonant	u+095D	u+095D	u+095D		u+09DD			u+0B5D						ṛh
f	fa	consonant	u+095E	u+095E	u+095E			u+0A5E					u+0CDE			f
Y	yya	consonant	u+095F	u+095F	u+095F		u+09DF			u+0B5F						
	marwari-dda	consonant	u+0978	u+0978	u+0978											
Zh	zha	consonant	u+0979	u+0979	u+0979				u+0AF9							
	heavy-ya	consonant	u+097A	u+097A	u+097A											
	gga	consonant	u+097B	u+097B	u+097B											
	jja	consonant	u+097C	u+097C	u+097C											
	ddda	consonant	u+097E	u+097E	u+097E											
	bba	consonant	u+097F	u+097F	u+097F											
																
	ttta	consonant												u+0D3A		
																
	chillu-m	consonant	{ma}	{ma}	{ma}	{ma}	{ma}	{ma}	{ma}	{ma}	{ma}	{ma}	{ma}		{ma}	
	chillu-n	consonant	{na}	{na}	{na}	{na}	{na}	{na}	{na}	{na}	{na}	{na}	{na}	u+0D7B	{na}	
																
	rrra	consonant										u+0C5A				
																
.nu	nukta	dependent-vowel	u+093C	u+093C	u+093C		u+09BC	u+0A3C	u+0ABC	u+0B3C		u+0C3C	u+0CBC		u+1133C	m̈
.a	avagraha	vedic-sign	u+093D	u+093D	u+093D	u+093D	u+09BD		u+0ABD	u+0B3D	u+093D	u+0C3D	u+0CBD	u+0D3D	u+1133D	’
	virama		u+094D	u+094D	u+094D	u+1163F	u+09CD	u+0A4D	u+0ACD	u+0B4D	u+0BCD	u+0C4D	u+0CCD	u+0D4D	u+1134D	
.h	explicit-virama		{virama}{zwnj}	{virama}{zwnj}	{virama}{zwnj}	{virama}{zwnj}	{virama}{zwnj}	{virama}{zwnj}	{virama}{zwnj}	{virama}{zwnj}	{virama}{zwnj}	{virama}{zwnj}	{virama}{zwnj}	{virama}{zwnj}	{virama}{zwnj}	
.c	candra-ardhachandra	vedic-tone	u+1CF4	u+1CF4	u+1CF4	u+11640					u+1CF4		u+1CF4		u+1CF4	
.N	chandrabindu	vedic-tone	u+0901	u+0901	u+0901	{anusvara}{dv-candra-e}	u+0981	u+0A01	u+0A81	u+0B01	u+0901	u+0C01	u+0C81	u+0D01	u+11301	m̐
.n | M | .m	anusvara	dependent-vowel	u+0902	u+0902	u+0902	u+1163D	u+0982	u+0A02	u+0A82	u+0B02	u+0B82	u+0C02	u+0C82	u+0D02	u+11302	ṁ
H	visarga	vedic-sign	u+0903	u+0903	u+0903	u+1163E	u+0983	u+0A03	u+0A83	u+0B03	u+003A	u+0C03	u+0C83	u+0D03	u+11303	ḥ
Q	tamil-visarga	sign									u+0B83					ḵ
.si	siddham	vedic-sign	u+A8FC	u+A8FC	u+A8FC		u+0980					u+0C77	u+0C84			꣼
\' | .ss	udatta-svarita	vedic-tone	u+0951	u+0951	u+0951						u+0951				u+0951	̍
\_ | .an	anudatta	vedic-tone	u+0952	u+0952	u+0952						u+0952				u+0952	̱
\m+ | .cbv | .N.h	candrabinduvirama	vedic-sign	u+A8F3	u+A8F3	u+A8F3						u+A8F3				u+A8F3	
\'' | .ds	double-svarita 	vedic-tone	u+1CDA	u+1CDA	u+1CDA						u+1CDA				u+1CDA	̎
.ga	grave-accent	sign	u+0953	u+0953	u+0953						u+0953				u+0300	`
.aa	acute-accent	sign	u+0954	u+0954	u+0954						u+0954				u+0301	'
\.	danda	sign	u+0964	u+0964	u+0964	u+11641	u+0964	u+0964	u+0964	u+0964	u+0964	u+0964	u+0964	u+0964	u+0964	.
\..	double-danda	sign	u+0965	u+0965	u+0965	u+11642	u+0965	u+0965	u+0965	u+0965	u+0965	u+0965	u+0965	u+0965	u+0965	..
																
.N.a	candrabindu-avagraha	vedic-sign	u+A8F7	u+A8F7	u+A8F7										u+A8F7	ꣷ
.pu	pushpika	vedic-tone	u+A8F8	u+A8F8	u+A8F8										u+A8F8	꣸
																
.ka	karshana	vedic-tone	u+1CD0	u+1CD0	u+1CD0	u+1CD0									u+1CD0	᳐
.sh	shara	vedic-tone	u+1CD1	u+1CD1	u+1CD1	u+1CD1									u+1CD1	᳑
.pr	prenkha	vedic-tone	u+1CD2	u+1CD2	u+1CD2	u+1CD2					u+1CD2				u+1CD2	᳒
.ni	nihshvasa	vedic-tone	u+1CD3	u+1CD3	u+1CD3	u+1CD3									u+1CD3	᳓
																
~o	abbreviation					u+11643										
^h	huva					u+11644										
Rs.	rupee-sign	sign	u+20B9	u+20B9	u+20B9	u+20B9	u+09F3	u+20B9	u+0AF1	u+20B9	u+20B9	u+20B9	u+20B9	u+20B9	u+20B9	₹
~Rs.	rupee-mark	sign	u+20B9	u+20B9	u+20B9	u+A838	u+09F2	u+20B9	u+20B9	u+20B9	u+20B9	u+20B9	u+20B9	u+20B9	u+20B9	₹
																
0	zero		u+0966	u+0966	u+0966	u+11650	u+09E6	u+0A66	u+0AE6	u+0B66	u+0BE6	u+0C66	u+0CE6	u+0D66	u+0BE6	0
1	one		u+0967	u+0967	u+0967	u+11651	u+09E7	u+0A67	u+0AE7	u+0B67	u+0BE7	u+0C67	u+0CE7	u+0D67	u+0BE7	1
